[15:37:13] [main/INFO]: ModLauncher running: args [--username, Herobrine52, --version, forge-47.3.11, --gameDir, C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9, --assetsDir, C:\Users\Francesco\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 812cfdb04240407696a33ebb5e9632fd, --accessToken, ????????, --clientId, OWNlNWU0ZWMtOWJhMS00ZjA5LTkxYzAtNzQ1MGE1ODFmNGE4, --xuid, 2535441942000687, --userType, msa, --versionType, release, --width, 854, --height, 480, --quickPlayPath, C:\Users\Francesco\curseforge\minecraft\Install\quickPlay\java\1737124631146.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.11, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[15:37:13] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[15:37:13] [main/WARN]: Configuration file C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\fml.toml is not correct. Correcting
[15:37:13] [main/INFO]: Incorrect key [earlyWindowLogHelpMessage] was corrected from null to true
[15:37:13] [main/INFO]: Incorrect key [earlyWindowShowCPU] was corrected from null to false
[15:37:16] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[15:37:16] [main/INFO]: Trying GL version 4.6
[15:37:16] [main/INFO]: If this message is the only thing at the bottom of your log before a crash, you probably have a driver issue.

Possible solutions:
A) Make sure Minecraft is set to prefer high performance graphics in the OS and/or driver control panel
B) Check for driver updates on the graphics brand's website
C) Try reinstalling your graphics drivers
D) If still not working after trying all of the above, ask for further help on the Forge forums or Discord

You can safely ignore this message if the game starts up successfully.
[15:37:16] [main/INFO]: Requested GL version 4.6 got version 4.6
[15:37:17] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Francesco/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[15:37:17] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 3070 Ti/PCIe/SSE2 GL version 4.6.0 NVIDIA 566.36, NVIDIA Corporation
[15:37:18] [main/INFO]: Found mod file [1.20.1] SecurityCraft v1.9.12.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file [forge]ctov-3.4.10.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file absentbydesign-1.20.1-1.9.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Ad-Astra-Giselle-Addon-forge-1.20.1-6.16.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ad_astra-forge-1.20.1-1.15.19.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file additional_lights-1.20.1-2.1.7.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
